date,level,spx,perf,vix
2021-01-04,-0.03749366666666664,7645.27001953125,,26.96999931335449
2021-01-06,0.005414448275862062,7744.43017578125,0.012970131335672486,25.06999969482422
2021-01-07,-0.1331911,7861.10009765625,0.015065010494878628,22.3700008392334
2021-01-08,0.0359073846153846,7905.27978515625,0.005620038792429671,21.55999946594238
2021-01-11,-0.24210475,7853.4501953125,-0.006556325804062069,24.07999992370605
2021-01-12,-0.1559935416666667,7856.72021484375,0.00041637999222321476,23.32999992370605
2021-01-14,0.003797799999999974,7846.10009765625,-0.0013517239887752552,23.25
2021-01-19,-0.103948947368421,7853.47021484375,0.0009393350958779578,23.23999977111816
2021-01-20,-0.02721521739130432,7962.919921875,0.01393647700151468,21.57999992370605
2021-01-21,-0.1336752142857143,7966.10986328125,0.0004005994581819383,21.31999969482422
2021-01-22,-0.1484292727272727,7942.2001953125,-0.0030014233269564095,21.90999984741211
2021-01-26,-0.1120945428571429,7959.10009765625,0.0021278615406501444,23.02000045776367
2021-01-27,0.2552635333333333,7754.740234375,-0.025676252437311198,37.20999908447266
2021-01-28,-0.2116069,7831.22021484375,0.009862352336411195,30.20999908447266
2021-01-29,-0.03706815217391304,7681.009765625,-0.019180976284389528,33.09000015258789
2021-02-01,-0.2123653333333334,7804.31005859375,0.016052615050765606,30.23999977111816
2021-02-02,-0.03714055172413793,7912.8701171875,0.013910269809719988,25.55999946594238
2021-02-03,0.121430875,7920.85009765625,0.0010084811643018554,22.90999984741211
2021-02-04,0.1439745357142857,8007.6201171875,0.01095463472499314,21.77000045776367
2021-02-05,-0.08686484999999997,8039.669921875,0.0040024132287079794,20.8700008392334
2021-02-08,-0.09954676470588235,8099.330078125,0.007420722098014476,21.23999977111816
2021-02-09,-0.0475754090909091,8091.7001953125,-0.0009420387536874797,21.6299991607666
2021-02-11,-0.2656523703703704,8104.18994140625,0.0015435255622773258,21.25
2021-02-17,-0.1492880512820513,8137.8798828125,0.004157101653568196,21.5
2021-02-18,-0.1347631111111111,8102.240234375,-0.004379475852521741,22.48999977111816
2021-02-19,-0.1097849166666667,8087.68017578125,-0.0017970410864858177,22.04999923706055
2021-02-22,-0.1573617894736842,8025.81005859375,-0.007649921342435362,23.45000076293945
2021-02-23,-0.15262,8036.06005859375,0.0012771296511091546,23.11000061035156
2021-02-24,-0.4321580416666667,8127.3798828125,0.01136375581477811,21.34000015258789
2021-02-26,-0.1625661176470588,7892.81005859375,-0.02886167837617759,27.95000076293945
2021-03-02,0.01293104347826087,8015.5400390625,0.015549592547855706,24.10000038146973
2021-03-03,-0.3176211764705882,7911.2099609375,-0.013015976168363363,26.67000007629395
2021-03-04,-0.4626013684210526,7806.4501953125,-0.013241939746544862,28.56999969482422
2021-03-05,-0.4700418636363636,7958.97998046875,0.019538942968961637,24.65999984741211
2021-03-08,-0.291020238095238,7916.41015625,-0.005348653259992564,25.46999931335449
2021-03-09,-0.1801398235294117,8029.2001953125,0.014247624470727027,24.03000068664551
2021-03-11,-0.01150235714285714,8162.580078125,0.016611851687341028,21.90999984741211
2021-03-12,-0.04459386363636365,8172.89990234375,0.0012642845913888312,20.69000053405762
2021-03-15,-0.0877068181818182,8226.3203125,0.006536285870934355,20.03000068664551
2021-03-16,-0.04542324999999999,8213.6298828125,-0.0015426617497761308,19.79000091552734
2021-03-17,-0.3657405294117647,8237.349609375,0.00288784945278997,19.22999954223633
2021-03-18,-0.08521192000000001,8116.169921875,-0.01471100453986851,21.57999992370605
2021-03-23,-0.02744725925925924,8106.830078125,-0.0011507698631132435,20.29999923706055
2021-03-24,0.04641604761904762,8063.0,-0.005406561837686508,21.20000076293945
2021-03-25,-0.314245,8105.509765625,0.0052722021114970374,19.80999946594238
2021-03-30,-0.2651080555555556,8208.099609375,0.012656803423404472,19.61000061035156
2021-03-31,-0.350808294117647,8238.48046875,0.003701326838224439,19.39999961853027
2021-04-01,-0.1576030454545455,8335.91015625,0.011826172055583228,17.32999992370605
2021-04-05,-0.03498263157894737,8457.400390625,0.01457432147153237,17.90999984741211
2021-04-06,-0.06369096874999998,8449.5400390625,-0.0009294051599133546,18.1200008392334
2021-04-07,-0.1212769259259259,8462.1796875,0.0014958978097110442,17.15999984741211
2021-04-12,0.001476611111111112,8564.0302734375,0.012035975327721937,16.90999984741211
2021-04-13,-0.260607294117647,8592.25,0.00329514558700561,16.64999961853027
2021-04-14,-0.0490295,8558.16015625,-0.0039675106927754555,16.98999977111816
2021-04-15,0.014859375,8653.2900390625,0.011115693218597622,16.56999969482422
2021-04-16,0.02262506451612903,8684.509765625,0.003607844695089124,16.25
2021-04-19,-0.1478915882352941,8638.419921875,-0.005307132468482245,17.29000091552734
2021-04-21,0.1412312857142857,8659.7998046875,0.002474976095843573,17.5
2021-04-23,-0.03782272222222225,8674.7998046875,0.0017321416589655136,17.32999992370605
2021-04-26,-0.271042294117647,8690.259765625,0.0017821691895583136,17.63999938964844
2021-04-27,-0.1960523666666667,8688.4501953125,-0.0002082297147960599,17.55999946594238
2021-04-29,-0.2740060476190476,8740.349609375,0.00597337993495084,17.61000061035156
2021-05-04,-0.1327847058823529,8643.91015625,-0.01103382100660577,19.47999954223633
2021-05-06,-0.1317061025641026,8722.0400390625,0.009038719908027737,18.38999938964844
2021-05-07,-0.1005032121212121,8787.8203125,0.007541844928812047,16.69000053405762
2021-05-10,-0.03601742857142855,8696.2900390625,-0.010415583180200527,19.65999984741211
2021-05-12,-0.2805250869565218,8437.240234375,-0.029788542415660646,27.59000015258789
2021-05-13,-0.3984626666666666,8541.3896484375,0.01234401429488452,23.1299991607666
2021-05-14,-0.06729276470588234,8669.490234375,0.01499762816240735,18.80999946594238
2021-05-17,-0.2609299090909091,8647.5703125,-0.0025283980121560967,19.71999931335449
2021-05-18,-0.5297030500000001,8574.98046875,-0.00839424730031646,21.34000015258789
2021-05-19,-0.3412683333333333,8550.9501953125,-0.0028023706322217734,22.18000030517578
2021-05-20,-0.3219967499999999,8641.98046875,0.01064563251548356,20.67000007629395
2021-05-21,-0.1128638235294118,8635.5498046875,-0.0007441192543484743,20.14999961853027
2021-05-25,0.09516318181818186,8703.58984375,0.007879062781337653,18.84000015258789
2021-05-26,-0.1114432,8720.0400390625,0.0018900471653444662,17.36000061035156
2021-05-27,-0.03307682857142858,8730.9697265625,0.0012533987746661257,16.73999977111816
2021-05-28,0.04014832352941178,8738.76953125,0.0008933491847726849,16.76000022888184
2021-06-01,-0.2386251538461539,8734.740234375,-0.0004610828630496888,17.89999961853027
2021-06-02,-0.1807886875,8748.2998046875,0.0015523724745856171,17.47999954223633
2021-06-04,-0.3410414375,8795.080078125,0.005347355998525982,16.42000007629395
2021-06-07,0.1279952105263158,8788.2802734375,-0.0007731373253112572,16.42000007629395
2021-06-09,-0.31821692,8774.3095703125,-0.0015896970385920195,17.88999938964844
2021-06-10,-0.2407954074074074,8815.5595703125,0.004701224600003551,16.10000038146973
2021-06-11,-0.1915238636363636,8832.9404296875,0.001971611584763444,15.64999961853027
2021-06-14,-0.1429524,8851.169921875,0.002063807894167491,16.38999938964844
2021-06-15,-0.11415725,8833.6796875,-0.001976036448218421,17.02000045776367
2021-06-16,-0.328518175,8786.1796875,-0.005377147653113812,18.14999961853027
2021-06-17,-0.3319914230769231,8782.580078125,-0.00040968993385381847,17.75
2021-06-18,-0.2626521,8667.759765625,-0.01307364253768506,20.70000076293945
2021-06-22,-0.01311125806451614,8834.5595703125,0.019243704163214304,16.65999984741211
2021-06-24,0.02558207692307696,8877.0595703125,0.004810652943335825,15.97000026702881
2021-06-28,-0.09232075999999999,8927.400390625,0.005670889094949283,15.76000022888184
2021-06-29,-0.04764141666666669,8930.669921875,0.00036623553407921783,16.02000045776367
2021-06-30,-0.2303100869565217,8942.7802734375,0.0013560406630679367,15.82999992370605
2021-07-01,-0.07783320000000002,8990.080078125,0.00528916100376442,15.47999954223633
2021-07-02,-0.004047800000000002,9058.66015625,0.007628416824881468,15.06999969482422
2021-07-07,-0.208880652173913,9071.1396484375,0.0013776311256019635,16.20000076293945
2021-07-08,-0.2272855789473684,8995.259765625,-0.008364977913835836,19.0
2021-07-09,-0.3390652083333333,9096.83984375,0.01129262308946144,16.18000030517578
2021-07-12,-0.08682286363636361,9128.2197265625,0.0034495366909268466,16.17000007629395
2021-07-13,-0.07649058064516129,9096.150390625,-0.0035132081499068546,17.1200008392334
2021-07-14,-0.1781296774193548,9107.849609375,0.001286172528771834,16.32999992370605
2021-07-15,-0.02690122727272736,9078.330078125,-0.0032411087705723762,17.01000022888184
2021-07-16,-0.3497985454545454,9009.8896484375,-0.007538878747360478,18.45000076293945
2021-07-19,-0.3378440909090909,8867.0703125,-0.015851396799545503,22.5
2021-07-21,-0.02927131111111112,9075.9697265625,0.023559011793107487,17.90999984741211
2021-07-22,0.02819948000000001,9094.9501953125,0.002091288239365774,17.69000053405762
2021-07-23,-0.05762925000000002,9187.6396484375,0.010191309587684438,17.20000076293945
2021-07-27,-0.1868468333333333,9166.26953125,-0.0023259637954057277,19.36000061035156
2021-07-28,-0.2195340384615385,9164.6201171875,-0.00017994387540942736,18.30999946594238
2021-07-29,-0.2225664736842105,9204.25,0.004324225369492174,17.70000076293945
2021-07-30,-0.1052171052631579,9155.2099609375,-0.005327977734470468,18.23999977111816
2021-08-02,-0.05985490322580642,9138.3603515625,-0.0018404394270467028,19.45999908447266
2021-08-03,-0.07245113207547169,9213.349609375,0.008205986077105987,18.04000091552734
2021-08-04,-0.02608875675675676,9170.759765625,-0.004622623210418841,17.96999931335449
2021-08-09,-0.05480600000000001,9235.0498046875,0.007010328555708156,16.71999931335449
2021-08-10,-0.2086477424242424,9244.2197265625,0.0009929477446180002,16.79000091552734
2021-08-11,-0.04812008333333333,9267.400390625,0.0025075847121951433,16.17000007629395
2021-08-12,-0.09359131818181816,9297.2001953125,0.0032155516575764764,15.59000015258789
2021-08-13,0.02036307692307692,9312.509765625,0.0016466860980597353,15.44999980926514
2021-08-19,-0.1754469583333333,9186.0703125,-0.013577376701576438,21.67000007629395
2021-08-20,-0.1568632142857143,9261.3095703125,0.008190581527567575,18.55999946594238
2021-08-23,-0.0051121875,9341.08984375,0.008614362022109523,17.14999961853027
2021-08-24,-0.05609888888888889,9355.1103515625,0.001500949894179815,17.21999931335449
2021-08-26,-0.1947920909090909,9321.740234375,-0.003567046879562108,18.84000015258789
2021-08-27,-0.22248234375,9404.150390625,0.008840640714928183,16.38999938964844
2021-08-30,-0.1675518461538461,9445.240234375,0.004369330778776437,16.19000053405762
2021-08-31,-0.1252712222222223,9433.580078125,-0.0012345007602415636,16.47999954223633
2021-09-02,0.01759076,9465.4697265625,0.0033804396817966875,16.40999984741211
2021-09-03,-0.1208598666666666,9462.5400390625,-0.00030951316570992926,16.40999984741211
2021-09-08,-0.4246793846153846,9418.5703125,-0.00464671498149416,17.95999908447266
2021-09-09,-0.1908641875,9375.990234375,-0.0045208642832436086,18.79999923706055
2021-09-10,-0.2220256153846153,9304.0302734375,-0.007674918503399741,20.95000076293945
2021-09-13,-0.163219,9325.2900390625,0.002285006067284101,19.3700008392334
2021-09-14,-0.0446815,9273.990234375,-0.005501148433197378,19.45999908447266
2021-09-15,-0.350400125,9352.830078125,0.008501178215367444,18.18000030517578
2021-09-21,-0.3147233448275861,9089.5498046875,-0.028149797573386537,24.36000061035156
2021-09-22,-0.4642235,9176.080078125,0.009519753485797144,20.8700008392334
2021-09-24,-0.04793054999999998,9301.490234375,0.01366707299655845,17.75
2021-09-27,-0.2242679677419355,9275.8701171875,-0.002754409943131142,18.76000022888184
2021-09-28,-0.2030502222222222,9087.4697265625,-0.02031080515841932,23.25
2021-09-29,-0.4909660499999999,9102.6201171875,0.0016671737107101237,22.55999946594238
2021-09-30,-0.1817709375,8994.830078125,-0.011841649731045178,23.13999938964844
2021-10-01,-0.4807411666666666,9098.25,0.011497707124730638,21.10000038146973
2021-10-04,-0.2913697499999999,8980.6396484375,-0.012926700361333254,22.95999908447266
2021-10-06,-0.01855846153846156,9113.4501953125,0.014788539800514977,21.0
2021-10-07,-0.2810715238095238,9191.1904296875,0.008530274781661351,19.54000091552734
2021-10-08,-0.18783485,9173.740234375,-0.001898578366534065,18.77000045776367
2021-10-11,-0.323134375,9110.759765625,-0.00686529890109655,20.0
2021-10-12,-0.4224959523809524,9088.73046875,-0.0024179428984745233,19.85000038146973
2021-10-13,-0.2729992162162162,9116.3896484375,0.003043239073113879,18.63999938964844
2021-10-14,-0.1043105909090909,9272.9697265625,0.01717566757930733,16.86000061035156
2021-10-15,-0.02183604347826087,9342.150390625,0.007460464781237297,16.29999923706055
2021-10-18,-0.2936584615384615,9373.6796875,0.0033749506865827783,16.30999946594238
2021-10-19,-0.2875846190476191,9443.1201171875,0.007408022463163633,15.69999980926514
2021-10-22,-0.204278,9496.8603515625,0.005690940463331184,15.43000030517578
2021-10-27,-0.1770138518518518,9511.26953125,0.0015172571938608659,16.97999954223633
2021-10-28,-0.3331195714285713,9605.23046875,0.00987890598529284,16.53000068664551
